short_key,export_format,long_format,real_week,start_date,end_date
P01W1,FY26 Jul Wk1,P01W1 - FY26 July Wk1,Week 27,2025-06-28,2025-07-04
P01W2,FY26 Jul Wk2,P01W2 - FY26 July Wk2,Week 28,2025-07-05,2025-07-11
P01W3,FY26 Jul Wk3,P01W3 - FY26 July Wk3,Week 29,2025-07-12,2025-07-18
P01W4,FY26 Jul Wk4,P01W4 - FY26 July Wk4,Week 30,2025-07-19,2025-07-25
P02W1,FY26 Aug Wk1,P02W1 - FY26 August Wk1,Week 31,2025-07-26,2025-08-01
P02W2,FY26 Aug Wk2,P02W2 - FY26 August Wk2,Week 32,2025-08-02,2025-08-08
P02W3,FY26 Aug Wk3,P02W3 - FY26 August Wk3,Week 33,2025-08-09,2025-08-15
P02W4,FY26 Aug Wk4,P02W4 - FY26 August Wk4,Week 34,2025-08-16,2025-08-22
P02W5,FY26 Aug Wk5,P02W5 - FY26 August Wk5,Week 35,2025-08-23,2025-08-29
P03W1,FY26 Sep Wk1,P03W1 - FY26 September Wk1,Week 36,2025-08-30,2025-09-05
P03W2,FY26 Sep Wk2,P03W2 - FY26 September Wk2,Week 37,2025-09-06,2025-09-12
P03W3,FY26 Sep Wk3,P03W3 - FY26 September Wk3,Week 38,2025-09-13,2025-09-19
P03W4,FY26 Sep Wk4,P03W4 - FY26 September Wk4,Week 39,2025-09-20,2025-09-26
P04W1,FY26 Oct Wk1,P04W1 - FY26 October Wk1,Week 40,2025-09-27,2025-10-03
P04W2,FY26 Oct Wk2,P04W2 - FY26 October Wk2,Week 41,2025-10-04,2025-10-10
P04W3,FY26 Oct Wk3,P04W3 - FY26 October Wk3,Week 42,2025-10-11,2025-10-17
P04W4,FY26 Oct Wk4,P04W4 - FY26 October Wk4,Week 43,2025-10-18,2025-10-24
P04W5,FY26 Oct Wk5,P04W5 - FY26 October Wk5,Week 44,2025-10-25,2025-10-31
P05W1,FY26 Nov Wk1,P05W1 - FY26 November Wk1,Week 45,2025-11-01,2025-11-07
P05W2,FY26 Nov Wk2,P05W2 - FY26 November Wk2,Week 46,2025-11-08,2025-11-14
P05W3,FY26 Nov Wk3,P05W3 - FY26 November Wk3,Week 47,2025-11-15,2025-11-21
P05W4,FY26 Nov Wk4,P05W4 - FY26 November Wk4,Week 48,2025-11-22,2025-11-28
P06W1,FY26 Dec Wk1,P06W1 - FY26 December Wk1,Week 49,2025-11-29,2025-12-05
P06W2,FY26 Dec Wk2,P06W2 - FY26 December Wk2,Week 50,2025-12-06,2025-12-12
P06W3,FY26 Dec Wk3,P06W3 - FY26 December Wk3,Week 51,2025-12-13,2025-12-19
P06W4,FY26 Dec Wk4,P06W4 - FY26 December Wk4,Week 52,2025-12-20,2025-12-26
P07W1,FY26 Jan Wk1,P07W1 - FY26 January Wk1,Week 1,2025-12-27,2026-01-02
P07W2,FY26 Jan Wk2,P07W2 - FY26 January Wk2,Week 2,2026-01-03,2026-01-09
P07W3,FY26 Jan Wk3,P07W3 - FY26 January Wk3,Week 3,2026-01-10,2026-01-16
P07W4,FY26 Jan Wk4,P07W4 - FY26 January Wk4,Week 4,2026-01-17,2026-01-23
P07W5,FY26 Jan Wk5,P07W5 - FY26 January Wk5,Week 5,2026-01-24,2026-01-30
P08W1,FY26 Feb Wk1,P08W1 - FY26 February Wk1,Week 6,2026-01-31,2026-02-06
P08W2,FY26 Feb Wk2,P08W2 - FY26 February Wk2,Week 7,2026-02-07,2026-02-13
P08W3,FY26 Feb Wk3,P08W3 - FY26 February Wk3,Week 8,2026-02-14,2026-02-20
P08W4,FY26 Feb Wk4,P08W4 - FY26 February Wk4,Week 9,2026-02-21,2026-02-27
P09W1,FY26 Mar Wk1,P09W1 - FY26 March Wk1,Week 10,2026-02-28,2026-03-06
P09W2,FY26 Mar Wk2,P09W2 - FY26 March Wk2,Week 11,2026-03-07,2026-03-13
P09W3,FY26 Mar Wk3,P09W3 - FY26 March Wk3,Week 12,2026-03-14,2026-03-20
P09W4,FY26 Mar Wk4,P09W4 - FY26 March Wk4,Week 13,2026-03-21,2026-03-27
P10W1,FY26 Apr Wk1,P10W1 - FY26 April Wk1,Week 14,2026-03-28,2026-04-03
P10W2,FY26 Apr Wk2,P10W2 - FY26 April Wk2,Week 15,2026-04-04,2026-04-10
P10W3,FY26 Apr Wk3,P10W3 - FY26 April Wk3,Week 16,2026-04-11,2026-04-17
P10W4,FY26 Apr Wk4,P10W4 - FY26 April Wk4,Week 17,2026-04-18,2026-04-24
P10W5,FY26 Apr Wk5,P10W5 - FY26 April Wk5,Week 18,2026-04-25,2026-05-01
P11W1,FY26 May Wk1,P11W1 - FY26 May Wk1,Week 19,2026-05-02,2026-05-08
P11W2,FY26 May Wk2,P11W2 - FY26 May Wk2,Week 20,2026-05-09,2026-05-15
P11W3,FY26 May Wk3,P11W3 - FY26 May Wk3,Week 21,2026-05-16,2026-05-22
P11W4,FY26 May Wk4,P11W4 - FY26 May Wk4,Week 22,2026-05-23,2026-05-29
P12W1,FY26 Jun Wk1,P12W1 - FY26 June Wk1,Week 23,2026-05-30,2026-06-05
P12W2,FY26 Jun Wk2,P12W2 - FY26 June Wk2,Week 24,2026-06-06,2026-06-12
P12W3,FY26 Jun Wk3,P12W3 - FY26 June Wk3,Week 25,2026-06-13,2026-06-19
P12W4,FY26 Jun Wk4,P12W4 - FY26 June Wk4,Week 26,2026-06-20,2026-06-26
